Sample Name,MO (g dm3),P (mg dm3),K (cmol dm3),Cu (mg dm3),Fe (mgdm3),Zn (mgdm3),Mn (mgdm3),pH (CaCl2),Al (cmol dm3),Ca (cmol dm3),Mg (cmol dm3)
Amostra 606  ,"22,78","1,30","0,58","0,00","0,00","0,00","0,00","5,40","0,00","6,00","1,00"
Amostra 607  ,"46,91","5,95","0,45","0,00","0,00","0,00","0,00","4,90","0,00","6,10","0,60"
Amostra 608  ,"53,61","5,95","0,66","0,00","0,00","0,00","0,00","5,50","0,00","8,70","1,00"
Amostra 609  ,"44,23","1,98","0,33","0,00","0,00","0,00","0,00","5,00","0,00","6,80","0,80"
Amostra 610  ,"28,14","0,97","0,17","0,00","0,00","0,00","0,00","5,50","0,00","5,30","0,70"
Amostra 611  ,"57,63","6,73","0,72","0,00","0,00","0,00","0,00","6,30","19,95","15,80","1,70"
Amostra 612  ,"44,23","1,64","0,26","0,00","0,00","0,00","0,00","5,90","0,00","10,70","1,50"
Amostra 613  ,"41,55","0,97","0,16","0,00","0,00","0,00","0,00","5,90","0,00","11,30","1,80"
Amostra 614  ,"25,46","0,65","0,08","0,00","0,00","0,00","0,00","6,20","0,00","8,10","1,60"
Amostra 615  ,"67,01","8,76","0,96","0,00","0,00","0,00","0,00","6,10","0,00","14,70","1,70"
Amostra 616  ,"48,25","11,85","0,55","0,00","0,00","0,00","0,00","5,40","0,00","9,00","1,40"
Amostra 617  ,"38,87","1,98","0,23","0,00","0,00","0,00","0,00","5,40","0,00","8,20","1,50"
Amostra 618  ,"36,19","1,30","0,13","0,00","0,00","0,00","0,00","5,60","0,00","7,30","1,70"
Amostra 619  ,"57,63","7,53","0,80","0,00","0,00","0,00","0,00","5,40","0,00","9,80","1,50"
Amostra 620  ,"48,25","4,45","5,50","0,00","0,00","0,00","0,00","5,10","0,00","8,00","1,20"
Amostra 621  ,"42,89","1,64","0,34","0,00","0,00","0,00","0,00","5,20","0,00","7,60","1,20"
Amostra 622  ,"26,80","0,97","0,12","0,00","0,00","0,00","0,00","5,80","0,00","4,60","0,80"
Amostra 623  ,"50,93","3,36","0,74","0,00","0,00","0,00","0,00","5,70","0,00","8,60","1,20"
Amostra 624  ,"46,91","2,32","0,53","0,00","0,00","0,00","0,00","5,40","0,00","8,60","1,30"
Amostra 625  ,"37,53","1,64","0,36","0,00","0,00","0,00","0,00","5,40","0,00","7,60","1,40"
Amostra 626  ,"26,80","1,98","0,16","0,00","0,00","0,00","0,00","6,20","0,00","5,30","1,40"
Amostra 627  ,"67,01","4,45","1,32","0,00","0,00","0,00","0,00","5,90","0,00","10,10","1,70"
Amostra 628  ,"49,59","4,82","0,72","0,00","0,00","0,00","0,00","5,60","0,00","8,40","1,30"
Amostra 629  ,"40,21","3,36","0,39","0,00","0,00","0,00","0,00","5,30","0,00","6,90","1,40"
Amostra 630  ,"25,46","0,65","0,13","0,00","0,00","0,00","0,00","6,00","0,00","5,40","1,30"
Amostra 631  ,"46,91","6,34","1,27","0,00","0,00","0,00","0,00","5,70","0,00","8,50","1,50"
Amostra 632  ,"40,21","3,72","0,63","0,00","0,00","0,00","0,00","5,20","0,00","5,80","0,90"
Amostra 633  ,"38,87","1,64","0,58","0,00","0,00","0,00","0,00","5,40","0,00","6,40","1,00"
Amostra 634  ,"21,44","1,98","0,33","0,00","0,00","0,00","0,00","5,80","0,00","5,30","1,00"
Amostra 635  ,"45,57","4,08","0,58","0,00","0,00","0,00","0,00","6,10","0,00","11,50","1,60"
Amostra 636  ,"34,85","2,66","0,28","0,00","0,00","0,00","0,00","5,70","0,00","7,90","1,20"
Amostra 637  ,"32,17","0,32","0,20","0,00","0,00","0,00","0,00","5,40","0,00","6,50","1,10"
Amostra 638  ,"18,76","0,65","0,08","0,00","0,00","0,00","0,00","6,20","0,00","4,40","0,80"
Amostra 639  ,"46,91","4,45","0,55","0,00","0,00","0,00","0,00","6,20","0,00","9,70","1,30"
